ID;Nivel;Comunidad Autonoma;Grupo;Familia;Taxon;Nombre publicado con errata;Otro nombre publicado;Nombre asignado según Anthos;Estado;Categoria;Boletin Oficial;Numero;Fecha;Páginas;Poblacion referida,
1;Autonómico;Andalucía;Pinopsida;Pinaceae;Abies pinsapo;;;Abies pinsapo;Vigente;En peligro de extinción;BOJA;129;27 de marzo de 2012;114-163;,
2;Autonómico;Andalucía;Magnoliopsida;Ranunculaceae;Aconitum burnatii;;;Aconitum burnatii;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
3;Autonómico;Andalucía;Magnoliopsida;Fabaceae;Adenocarpus gibbsianus;;;Adenocarpus gibbsianus;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
4;Autonómico;Andalucía;Liliopsida;Poaceae;Agrostis canina granatensis;;;Agrostis canina granatensis;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
5;Autonómico;Andalucía;Magnoliopsida;Rosaceae;Alchemilla fontqueri;;;Alchemilla alpigena;Vigente;En peligro de extinción;BOJA;129;27 de marzo de 2012;114-163;,
6;Autonómico;Andalucía;Liliopsida;Amaryllidaceae;Allium pruinatum;;;Allium pruinatum;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
7;Autonómico;Andalucía;Liliopsida;Amaryllidaceae;Allium rouyi;;;Allium rouyi;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
8;Autonómico;Andalucía;Liliopsida;Potamogetonaceae;Althenia orientalis;;;Althenia orientalis;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
9;Autonómico;Andalucía;Magnoliopsida;Rosaceae;Amelanchier ovalis;;Amelanchier rotundifolia;Amelanchier ovalis;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
10;Autonómico;Andalucía;Magnoliopsida;Asteraceae;Anacyclus alboranensis;;;Anacyclus alboranensis;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
11;Autonómico;Andalucía;Liliopsida;Colchicaceae;Androcymbium europaeum;;Androcymbium gramineum;Androcymbium europaeum;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
12;Autonómico;Andalucía;Magnoliopsida;Asteraceae;Anthemis bourgaei;;;Anthemis bourgaei;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
13;Autonómico;Andalucía;Magnoliopsida;Fabaceae;Anthyllis rupestris;;;Anthyllis rupestris;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
14;Autonómico;Andalucía;Magnoliopsida;Fabaceae;Anthyllis tejedensis plumosa;;Anthyllis plumosa;Anthyllis tejedensis plumosa;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
15;Autonómico;Andalucía;Magnoliopsida;Plantaginaceae;Antirrhinum charidemi;;;Antirrhinum charidemi;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
16;Autonómico;Andalucía;Magnoliopsida;Apiaceae;Apium repens;;;Apium repens;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
17;Autonómico;Andalucía;Magnoliopsida;Ranunculaceae;Aquilegia pyrenaica cazorlensis;;;Aquilegia pyrenaica cazorlensis;Vigente;En peligro de extinción;BOJA;129;27 de marzo de 2012;114-163;,
18;Autonómico;Andalucía;Magnoliopsida;Brassicaceae;Arabis margaritae;;;Arabis margaritae;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
19;Autonómico;Andalucía;Magnoliopsida;Caryophyllaceae;Arenaria alfacarensis;;;Arenaria alfacarensis;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
20;Autonómico;Andalucía;Magnoliopsida;Caryophyllaceae;Arenaria capillipes;;;Arenaria capillipes;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
21;Autonómico;Andalucía;Magnoliopsida;Caryophyllaceae;Arenaria delaguardiae;;;Arenaria delaguardiae;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
22;Autonómico;Andalucía;Magnoliopsida;Caryophyllaceae;Arenaria nevadensis;;;Arenaria nevadensis;Vigente;En peligro de extinción;BOJA;129;27 de marzo de 2012;114-163;,
23;Autonómico;Andalucía;Magnoliopsida;Caryophyllaceae;Arenaria racemosa;;;Arenaria racemosa;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
24;Autonómico;Andalucía;Magnoliopsida;Plumbaginaceae;Armeria colorata;;;Armeria colorata;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
25;Autonómico;Andalucía;Magnoliopsida;Plumbaginaceae;Armeria velutina;;;Armeria velutina;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
26;Autonómico;Andalucía;Magnoliopsida;Plumbaginaceae;Armeria villosa carratracensis;;;Armeria villosa carratracensis;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
27;Autonómico;Andalucía;Magnoliopsida;Asteraceae;Artemisia alba nevadensis;;;Artemisia alba;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
28;Autonómico;Andalucía;Magnoliopsida;Asteraceae;Artemisia granatensis;;;Artemisia granatensis;Vigente;En peligro de extinción;BOJA;129;27 de marzo de 2012;114-163;,
29;Autonómico;Andalucía;Magnoliopsida;Asteraceae;Artemisia umbelliformis;;;Artemisia umbelliformis;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
30;Autonómico;Andalucía;Polypodiopsida;Aspleniaceae;Asplenium billotii;;;Asplenium billotii;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
31;Autonómico;Andalucía;Polypodiopsida;Aspleniaceae;Asplenium marinum;;;Asplenium marinum;Vigente;En peligro de extinción;BOJA;129;27 de marzo de 2012;114-163;,
32;Autonómico;Andalucía;Polypodiopsida;Aspleniaceae;Asplenium petrarchae bivalens;;;Asplenium petrarchae bivalens;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
33;Autonómico;Andalucía;Magnoliopsida;Fabaceae;Astragalus algarbiensis;;;Astragalus algarbiensis;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
34;Autonómico;Andalucía;Magnoliopsida;Fabaceae;Astragalus edulis;;;Astragalus edulis;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
35;Autonómico;Andalucía;Magnoliopsida;Fabaceae;Astragalus tremolsianus;;;Astragalus tremolsianus;Vigente;En peligro de extinción;BOJA;129;27 de marzo de 2012;114-163;,
36;Autonómico;Andalucía;Magnoliopsida;Solanaceae;Atropa baetica;;;Atropa baetica;Vigente;En peligro de extinción;BOJA;129;27 de marzo de 2012;114-163;,
37;Autonómico;Andalucía;Magnoliopsida;Asteraceae;Avellara fistulosa;;;Avellara fistulosa;Vigente;En peligro de extinción;BOJA;129;27 de marzo de 2012;114-163;,
38;Autonómico;Andalucía;Liliopsida;Poaceae;Avena murphyi;;;Avena murphyi;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
39;Autonómico;Andalucía;Magnoliopsida;Betulaceae;Betula pendula fontqueri;;;Betula pendula fontqueri;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
40;Autonómico;Andalucía;Magnoliopsida;Buxaceae;Buxus balearica;;;Buxus balearica;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
41;Autonómico;Andalucía;Magnoliopsida;Buxaceae;Buxus sempervirens;;;Buxus sempervirens;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
42;Autonómico;Andalucía;Magnoliopsida;Campanulaceae;Campanula primulifolia;;Campanula alata;Campanula primulifolia;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
43;Autonómico;Andalucía;Magnoliopsida;Campanulaceae;Campanula specularioides;;Campanula lusitanica specularioides;Campanula specularioides;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
44;Autonómico;Andalucía;Magnoliopsida;Asteraceae;Carduus myriacanthus;;;Carduus myriacanthus;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
45;Autonómico;Andalucía;Liliopsida;Cyperaceae;Carex camposii;;;Carex camposii;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
46;Autonómico;Andalucía;Liliopsida;Cyperaceae;Carex furva;;;Carex furva;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
47;Autonómico;Andalucía;Liliopsida;Cyperaceae;Carex helodes;;;Carex helodes;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
48;Autonómico;Andalucía;Magnoliopsida;Apiaceae;Caropsis verticillato-inundata;;Thorella verticillato-inundata;Caropsis verticillato-inundata;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
49;Autonómico;Andalucía;Magnoliopsida;Apiaceae;Carum foetidum;;;Carum foetidum;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
50;Autonómico;Andalucía;Magnoliopsida;Asteraceae;Castrilanthemum debeauxii;;;Castrilanthemum debeauxii;Vigente;En peligro de extinción;BOJA;129;27 de marzo de 2012;114-163;,
51;Autonómico;Andalucía;Magnoliopsida;Asteraceae;Centaurea citricolor;;;Centaurea citricolor;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
52;Autonómico;Andalucía;Magnoliopsida;Asteraceae;Centaurea gadorensis;;;Centaurea gadorensis;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
53;Autonómico;Andalucía;Magnoliopsida;Asteraceae;Centaurea kunkelii;;;Centaurea kunkelii;Vigente;En peligro de extinción;BOJA;129;27 de marzo de 2012;114-163;,
54;Autonómico;Andalucía;Magnoliopsida;Asteraceae;Centaurea lainzii;;;Centaurea lainzii;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
55;Autonómico;Andalucía;Magnoliopsida;Asteraceae;Centaurea monticola;;;Centaurea monticola;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
56;Autonómico;Andalucía;Magnoliopsida;Asteraceae;Centaurea nevadensis;;Centaurea debeauxii nevadensis;Centaurea nevadensis;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
57;Autonómico;Andalucía;Magnoliopsida;Asteraceae;Centaurea pulvinata;;;Centaurea pulvinata;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
58;Autonómico;Andalucía;Magnoliopsida;Asteraceae;Centaurea sagredoi;;;Centaurea sagredoi;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
59;Autonómico;Andalucía;Magnoliopsida;Asteraceae;Centaurea saxifraga;;;Centaurea saxifraga;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
60;Autonómico;Andalucía;Polypodiopsida;Thelypteridaceae;Christella dentata;;;Christella dentata;Vigente;En peligro de extinción;BOJA;129;27 de marzo de 2012;114-163;,
61;Autonómico;Andalucía;Magnoliopsida;Brassicaceae;Clypeola eriocarpa;;;Clypeola eriocarpa;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
62;Autonómico;Andalucía;Magnoliopsida;Rutaceae;Cneorum tricoccon;Cneorum tricoccum;;Cneorum tricoccon;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
63;Autonómico;Andalucía;Magnoliopsida;Brassicaceae;Coincya longirostra;;;Coincya longirostra;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
64;Autonómico;Andalucía;Magnoliopsida;Ericaceae;Corema album;;;Corema album;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
65;Autonómico;Andalucía;Magnoliopsida;Brassicaceae;Coronopus navasii;;;Coronopus navasii;Vigente;En peligro de extinción;BOJA;129;27 de marzo de 2012;114-163;,
66;Autonómico;Andalucía;Polypodiopsida;Pteridaceae;Cosentinia vellea bivalens;;;Cosentinia vellea;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
67;Autonómico;Andalucía;Magnoliopsida;Rosaceae;Crataegus laciniata;;;Crataegus laciniata;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
68;Autonómico;Andalucía;Magnoliopsida;Asteraceae;Crepis granatensis;;;Crepis granatensis;Vigente;En peligro de extinción;BOJA;129;27 de marzo de 2012;114-163;,
69;Autonómico;Andalucía;Polypodiopsida;Culcitaceae;Culcita macrocarpa;;;Culcita macrocarpa;Vigente;En peligro de extinción;BOJA;129;27 de marzo de 2012;114-163;,
70;Autonómico;Andalucía;Liliopsida;Cymodoceaceae;Cymodocea nodosa;;;Cymodocea nodosa;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
71;Autonómico;Andalucía;Magnoliopsida;Cynomoriaceae;Cynomorium coccineum coccineum;;;Cynomorium coccineum coccineum;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
72;Autonómico;Andalucía;Magnoliopsida;Fabaceae;Cytisus malacitanus;;;Cytisus malacitanus;Vigente;En régimen de protección especial;BOJA;129;27 de marzo de 2012;114-163;,
73;Autonómico;Andalucía;Magnoliopsida;Ranunculaceae;Delphinium fissum sordidum;;;Delphinium fissum sordidum;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
74;Autonómico;Andalucía;Magnoliopsida;Caryophyllaceae;Dianthus broteri;;Dianthus hinoxianus;Dianthus broteri;Vigente;Vulnerable;BOJA;129;27 de marzo de 2012;114-163;,
75;Autonómico;Andalucía;Polypodiopsida;Athyriaceae;Diplazium caudatum;;;Diplazium caudatum;Vigente;En peligro de extinción;BOJA;129;27 de marzo de 2012;114-163;,
