Nombre original,Nombre aceptado,Diferencia
Sorbus aria,Aria edulis ,SYNONYM
Rhinanthus major,Rhinanthus serotinus subsp. serotinus,SYNONYM
Erophila verna,Draba verna,SYNONYM
Arabis muralis,Arabis collina,SYNONYM
Arabis petraea,Braya humilis,SYNONYM
Hesperis steocurainia,,
Draba affinis,Draba ecuadoriana,HETEROTYPIC SYNONYM
Bivonea lutea,Bivonaea lutea,SYNONYM
Hedysarum? flexuosum?,,
Crotalaria meana,Crotalaria,Genus
Tragopogon pseudocastell.,Tragopogon pseudocastellanus,
Carex fusca,Carex nigra,SYNONYM
Leuzea conifera,Rhaponticum coniferum,SYNONYM
Astragalus purpureus,Astragalus hypoglottis,SYNONYM
Onobrychis peduncularis,Onobrychis humilis,SYNONYM
Cheirolophus aristatus,Cheirolophus,Genus
Silene elegans,Silene ciliata,SYNONYM
Brassica incanaxoleracea,Brassica incana,Typo
Trigonella melilotus coeru,Melilotus indicus,SYNONYM
Onobrychis eriophora,Onobrychis humilis,SYNONYM
Lotus uleginosus,Lotus pedunculatus,SYNONYM
Caragana fruticosa,Caragana arborescens,SYNONYM
Acacia gummifera,Vachellia gummifera,SYNONYM
Achiranthes aspera,Achyranthes aspera,SYNONYM
Aethionema antilibani,Aethionema,SYNONYM
Agrostemma guithago,Agrostemma githago,Typo
Alisma plantago-aquat.,Alisma plantago-aquatica,Typo
Allium italicum,Arum italicum,Typo?
Allium porrum,Allium ampeloprasum,SYNONYM
Alcea officinalis,Althaea officinalis,Typo
Alyssum alpestre,Odontarrhena alpestris,
Alyssum calycinum,Alyssum alyssoides,
Alyssum argenteum,Odontarrhena argentea,
Alyssum corsicum,Odontarrhena corsica,
Alyssum marginatum,Alyssum minutum,
Alyssum murale,Odontarrhena muralis,
Alyssum purpureum,Hormathophylla purpurea,
Alyssum tortuosum,Odontarrhena tortuosa,
Amaranthus lividus,Amaranthus blitum,
Anchusa granatensis,Anchusa undulata subsp. granatensis,
Arabis albida,Arabis caucasica,
Arabis arcuta,Arabis ciliata,Typo and SYNONYM
Arabis celennis,Arabis,
Arabis minor,Arabis alpina,
Arabis mollis,Arabis christiani,
Arabis pendula,Catolobus pendulus,
Arabis sicula,Arabis caucasica,
Arabis bellidifolia,Arabis pumila,
Arabis sparsiflora,Boechera sparsiflora,
Arabis sagit.xciliata,Arabis sagittata,
Argyranthemum sp.,Argyranthemum,Genus
Argyranthemum sp,,
Aristolochia longa,Aristolochia fontanesii,
Armeria juniperifolia,Armeria humilis,
Aronia floribunda,Sinomalus sieboldii,
Asphodelus microcarpus,Asphodelus ramosus subsp. ramosus,
Atriplex sampa,Atriplex lampa,Typo
Bellotia greixiifolia,Bellotia,Genus
Biscutella chicoriifolia,Biscutella cichoriifolia,Typo
Brachypodium ramosum,Brachypodium retusum,
Bromus mollis,Bromus hordeaceus subsp. hordeaceus,
Bromus matritensis,Bromus rigidus,
Caesalpinia guillesii,Erythrostemon gilliesii,Typo and SYNONYM
Capsicum frutensis,Capsicum frutescens,Typo
Arabis arenosa,Arabidopsis arenosa,
Cardaminopsis malleri,Arabis,Genus
Centaurea oultrei,Centaurea ultreiae,
Chaenorrhinum glareosum,Chaenorhinum glareosum,Typo
Chaenorrhinum macropodum,Chaenorhinum macropodum,
Chaenorrhinum robustum,Chaenorhinum robustum,
Chrozophora obliqua,Chrozophora tinctoria,
Cirsium lanceolatum,Cirsium vulgare,
Citrus nobilis,Citrus ×aurantium,
Cleome spinosa,Tarenaya spinosa,
Clypeola ionthlaspi,Clypeola jonthlaspi,typo
Conringia perfoliata,Conringia orientalis,
Consolida,Delphinium,Genus
Thymus capitatus,Thymbra capitata,
