
Papaver rhoeas
Euzomodendron bourgaeanum
Ilex aquifolium
Oryza sativa
Teucrium buxifolium
Avena sterilis
Scorzonera laciniata
Rapistrum rugosum
Cinnamomum camphora
Fezia pterocarpa
Drosera rotundifolia
Larix sibirica
Diplotaxis virgata
Camelina sativa
Euphorbia nicaeensis
Teucrium rotundifolium
Medicago arborea
Ferula communis
Lygeum spartum
Juncus maritimus
Euphorbia lathyris
Brassica cretica
Gynandropsis pentaphylla
Diplotaxis simplex
Colutea arborescens
Erucastrum varium
Crambe orientalis
Scrophularia auriculata
Biscutella sempervirens
Polygonum aviculare
Quercus pubescens
Anagyris foetida
Carduus carlinoides
Saxifraga aquatica
Armeria pseudarmeria
Genista hispanica
Echium plantagineum
Crataegus monogyna
Artemisia granatensis
Amaranthus muricatus
Diplotaxis villosa
Arabidopsis thaliana
Alyssum montanum
Carrichtera annua
Diplotaxis muralis
Diplotaxis griffithii
Diplotaxis assurgens
Diplotaxis catholica
Conringia orientalis
Erysimum nevadense
Alyssum minutum
Erysimum incanum
Sinapis arvensis
Alyssum granatense
Matthiola incana
Thlaspi montanum
Teesdalia nudicaulis
Alyssum wulfenianum
Cochlearia officinalis
Erysimum linifolium
Aethionema heterocarpum
Ionopsidium acaule
Alyssum petraeum
Cochlearia danica
Brassica juncea
Malcolmia maritima
Camelina microcarpa
Lepidium graminifolium
Lunaria annua
Sisymbrium strictissimum
Draba argaea
Arabis japonica
Kernera saxatilis
Notoceras bicorne
Arabis serpyllifolia
Morisia monanthos
Draba alpina
Erucaria hispanica
Enarthrocarpus pterocarpus
Cakile edentula
Diplotaxis vogelii
Genista umbellata
Anthyllis vulneraria
Astragalus depressus
Genista cinerea
Dorycnium pentaphyllum
Coronilla valentina
Ononis viscosa
Hippocrepis biflora
Coronilla minima
Anthyllis henoniana
Medicago suffruticosa
Coronilla glauca
Cytisus patens
Genista pilosa
Caragana pygmaea
Lupinus mutabilis
Cajanus cajan
Hippocrepis balearica
Acacia macracantha
Cytisus nigricans
Phaseolus vulgaris
Acacia dealbata
Alcea rosea
Yucca brevifolia
Matricaria chamomilla
Crambe cordifolia
Cytisus villosus
Crambe abyssinica
Digitalis parviflora
Dactylorhiza insularis
Serapias lingua
Orchis mascula
Brassica montana
Silene hifacensis
Diplotaxis erucoides
Senecio bicolor
Atriplex halimus
Onopordum nervosum
Gossypium arboreum
Echinochloa crus-galli
Echinochloa hispidula
Brassica oleracea
Teucrium polium
Iberis linifolia
Verbascum thapsus
Vicia villosa
Cytisus cantabricus
Genista lobelii
Diplotaxis siifolia
Teucrium salviastrum
Coronilla emerus
Thymus mastichina
Senecio pyrenaicus
Agrostis durieui
Teucrium scorodonia
Vigna catjang
Colutea orientalis
Ephedra fragilis
Brassica oxyrrhina
Aichryson bollei
Arabis caucasica
Lepidium oleraceum
Brassica incana
Raphanus raphanistrum
Trigonella foenum-graecum
Halimodendron halodendron
Cytisus purgans
Cytisus praecox
Cytisus heterochrous
Onobrychis arenaria
Astragalus monspessulanus
Melilotus albus
