
Sorbus aria
Rhinanthus major
Erophila verna
Arabis muralis
Arabis petraea
Hesperis steocurainia
Draba affinis
Bivonea lutea
Hedysarum? flexuosum?
Crotalaria meana
Tragopogon pseudocastell.
Carex fusca
Leuzea conifera
Astragalus purpureus
Onobrychis peduncularis
Cheirolophus aristatus
Silene elegans
Brassica incanaxoleracea
Trigonella melilotus coeru
Onobrychis eriophora
Lotus uleginosus
Caragana fruticosa
Acacia gummifera
Achiranthes aspera
Aethionema antilibani
Agrostemma guithago
Alisma plantago-aquat.
Allium italicum
Allium porrum
Alcea officinalis
Alyssum alpestre
Alyssum calycinum
Alyssum argenteum
Alyssum corsicum
Alyssum marginatum
Alyssum murale
Alyssum purpureum
Alyssum tortuosum
Amaranthus lividus
Anchusa granatensis
Arabis albida
Arabis arcuta
Arabis celennis
Arabis minor
Arabis mollis
Arabis pendula
Arabis sicula
Arabis bellidifolia
Arabis sparsiflora
Arabis sagit.xciliata
Argyranthemum sp.
Argyranthemum sp
Aristolochia longa
Armeria juniperifolia
Aronia floribunda
Asphodelus microcarpus
Atriplex sampa
Bellotia greixiifolia
Biscutella chicoriifolia
Brachypodium ramosum
Bromus mollis
Bromus matritensis
Caesalpinia guillesii
Capsicum frutensis
Arabis arenosa
Cardaminopsis malleri
Centaurea oultrei
Chaenorrhinum glareosum
Chaenorrhinum macropodum
Chaenorrhinum robustum
Chrozophora obliqua
Cirsium lanceolatum
Citrus nobilis
Cleome spinosa
Clypeola ionthlaspi
Conringia perfoliata
Consolida
Thymus capitatus
Cynoglossum cheirifolium
Digitalis oscura
Douepia tortuosa
Draba muralis
Dryas dummondii
Echium decais.xviresc.
Agropyrum glaucum
Erigeron cabrerae
Erigeron bourgati
Erysimum alpinum
Erysimum capverdianum
Erysimum xcheiranthus
Erysimum helveticum
Erysimum decumbens
Erysimum rupestre
Erysimum ochrol.xperofs.
Euphorbia obtusifolia
Evax disciflora
Festuca duriuscula
Geranium canariense
Gerbera aristata
Helianthemum croceum
Helianthemum crocceum
Helianthemum piliferum
Helichrysum ambiguum
Helichrysum rupestre
Heliophila longifolia
Heliotropum europaeum
Hieracium castellanum
Hormatophylla macrocarpa
Sedum tartarinowii
